ID,text,sexism,gender,hostile,misogyny,misandry
36,我真的佛了，一个大男人怎么能做到这么恶心，祝他早日凉凉（真的很心疼我大哥了）,0,1,0,-1,-1
37,那个说自己女朋友穿肯定不好看的男的真恶心，买不起不能努力赚钱或者直说没钱吗！,1,1,1,-1,-1
38,以前跟男的恋爱过，没有跟女性谈过恋爱，有过暗恋的女孩子（应该？,0,2,0,-1,-1
39,真真假假都是听别人说的，不是当事人都不知道这些事情。我听说的版本就跟你的不一样，但我不会去为不能够证实的事情发声。不是当事人，何必女人为难女人。,0,0,0,-1,-1
40,看了很多的回答，必须承认国内有这种现象。,0,1,0,-1,-1
41,这还不算不自爱？这还不算作践自己？都为了钱跟一个老男人上床了！在你眼里什么才叫不自爱？！,1,0,1,-1,-1
42,啊，对这个主播真的很反感，恶心至极的好吗？还是个话痨，不管男的女的，敢叫小哥哥换装备，一梭子子弹打死你,0,0,1,-1,-1
43,他可能需要一个爱他疼他保护他的男朋友,0,1,0,-1,-1
44,生气啊忍不住啊，总要打一个人啊。打女的不好吧。那我就打男的了。而且那男的是有家室的，追求别的女性当然有问题,0,2,0,-1,-1
45,《清华简》中的记载，夏姬实际上是母女两人，后来的记载弄串了，结果强行解释为她有驻颜秘术的科幻技能。,0,0,0,-1,-1
46,看样子是我太长时间内上网了，竟然贤惠是个不好的词了。,0,0,0,-1,-1
47,因为他们知晓，欺负你并不需要承担什么后果，如果是一个满脸横肉全身雄壮的男性，看起来就不好惹，想来也是没有谁会随便敢去挑事儿的,0,1,0,-1,-1
48,简直是中华田园女权癌和被父母不公对待过留下心理阴影的人狂欢，变着法甩锅把主要责任推给父母，我真的很服气,1,0,1,-1,-1
49,高中就堕胎过的女人还是一个小混混居然也能嫁土豪。？？究竟是这个土豪的门槛太低了，还是女的家庭太富了。？？,1,0,0,-1,-1
50,妹子的标签是讨厌直男癌。。。自己却一语道出自己就是个直男癌,1,1,1,-1,-1
51,估计这个女的卖的东西也是用这种方法骗来的吧。这就属于诈骗啊，你当初为什么不报警啊，就算报警没有用，也得搅和搅和她。,1,0,0,-1,-1
52,分手吧，你不配做别人女朋友,0,0,0,-1,-1
53,婊子配狗天长地久！你该跪着初恋不娶之恩。这种男人和这种朋友，要他们何用！当初你可能是恶心，现在过了那么久，反过来看，你该庆幸，命中没有这一劫！,1,1,1,-1,-1
54,可能你是小仙女,0,0,0,-1,-1
55,其实想羞辱女人太容易了，她要不要彩礼你都可以骂她贱，要彩礼可以骂她把自己当货，不要彩礼可以说她比货都贱，对比一下女人觉得ok那我要钱,1,0,1,-1,-1
56,既然女性这么重要为什么你国如此厌女？,0,0,1,-1,-1
57,是啊。 朋友，醒醒，重男轻女时代过去了。,0,0,0,-1,-1
58,可是我觉得齐豫姐姐这个样子真的很好看。我还喜欢她的裙子，仙女一样,0,0,0,-1,-1
59,女孩不需要自己打拼吗？你这也算是重女轻男了吧,0,0,0,-1,-1
60,当今女权舆论把女性做家庭主妇当成“压迫女性”，反过来说男性做家庭主夫是“解放男性”，这双标就有点恶心了。看了很多回答，女权说的，,0,0,0,-1,-1
61,首先，那些成天埋怨现在女性不乐意生孩子，害怕自己没孩子传宗接代的男性他们的基因到底是有多好，家底是有多丰厚。,1,1,0,-1,-1
62,这么多肌肉找男朋友应该很容易,0,0,0,-1,-1
63,男性会受到诸多道德绑架。,0,1,0,-1,-1
64,女的流氓也很多,1,0,0,-1,-1
65,我觉得挺好看的啊，萌萌的男孩子穿的萌萌的风格了。有自己的感觉挺好的,0,1,0,-1,-1
66,精子是一些类似鼻涕的东西，那玩意叫精液，建议那位老姐去找个男朋友_(:з」∠)_。,0,0,0,-1,-1
67,作为一个过来人说，学UI设计选择培训机构之前，先要了解当前自身情况！,0,0,0,-1,-1
68,这男的和女的都不清不楚男的渣女的婊看得真气,1,2,1,-1,-1
69,想要温柔贤惠的老婆都有罪了？,0,0,0,-1,-1
70,有几例。新疆还有报假警伏击警察的案例不少。另我没说这件事妇女是袭警。是暴力抗法。 文上半部讲的是执法难处和风险。,0,1,0,-1,-1
71,是的，真的对长得漂亮的就喜欢舔，我上学时对班花也这样，因为她实在太好看了，虽然我是女的，但更多的是好羡慕她[可怜],0,0,0,-1,-1
72,微操，走位躲女警q,0,1,0,-1,-1
73,这种人玩游戏就是侮辱游戏群体，我也见过，这种人一起说玩游戏不如说就是冲着女人去的，也怪不得去玩那种垃圾游戏,1,1,0,-1,-1
74,农村女扶弟魔不要太多,1,0,0,-1,-1
75,蛮吓人的，就生活在杭州也没有见过这种恐怖的父母[捂脸][捂脸][捂脸]不过农村的确是重男轻女会多些。,0,2,0,-1,-1
76,你们家是不是重男轻女啊？甚至更恐怖的是不是他们在玩你，把你当成了玩具，你哥哥说的对，逃离这个家。,1,0,0,-1,-1
77,ai？我只会和是我男朋友的人牵手手要抱抱,0,0,0,-1,-1
78,其实男性读到这句话并不会认为这是在歧视男性，他们觉得无所谓，不会在这些地方计较。,0,1,0,-1,-1
79,男朋友要不要啊小哥哥,0,1,0,-1,-1
80,我家也是，明明条件比有些同学都好，而且我是独生女，但是活的钱比命重要,0,0,0,-1,-1
81,我的主页怎么了，太奇怪了，请你说说田园女权的标准吧，你咬文嚼字有意思吗，本人没有性别偏见，你收好你的玻璃豆腐心吧,1,1,0,-1,-1
82,这女人这辈子怎么过啊，过不了几天就得自杀吧。心疼阿姨，人就是有劣根性，大部分人都是喜欢随大流戳死别人的，看明白人性就行了,1,0,0,-1,-1
83,你咋不从女娲造人开始录,0,0,0,-1,-1
84,不是，我的意思是初恋或者女神都是一样的不是说初恋是女神[捂脸],0,2,0,-1,-1
85,所以这个科学家每天在做实验的时候想着，我今天用这个公式产生了多少个闺女？,0,2,0,-1,-1
86,我也独生女，爸妈也爱。但我仍然焦虑。不过我从来不乞求其他谁来爱我，我也懒得讨好人。我只有在人际关系差的焦虑。,0,0,0,-1,-1
87,宋玉的登徒子好色赋。 宋玉说隔壁有个超级大美女，天天登墙偷看他，他都不喜欢人家。但是登徒子老婆贼丑，他还那么喜欢她。以此论证登徒子是好色之徒。[微笑],0,0,0,-1,-1
88,包括的，男性的强制性交归于强制猥亵罪，视情节轻重有时不比强奸罪轻，你可以看一下我的职业,0,1,0,-1,-1
89,女人真是心狠！,1,0,0,-1,-1
90,看过朱没被毒害之前的照片，多么青春美好的一个少女，却被人硬生生地毁了，凶手却逍遥法外，真是可叹可悲。,0,0,0,-1,-1
91,哇，你就是这样去坑男人滴？！真恐怖。,1,0,0,-1,-1
92,兄弟说的好啊我虽然不敢说但是我给你赞我管有没有女孩子关注我（滑稽,0,1,0,-1,-1
93,在女性肉体政治学一书中有提到，在过去的男权社会中，女性的身体，生育权和交配权都是以男性公民为主体的社会的私产之一。,0,0,0,-1,-1
94,我想问问题主是女生还是男生，为什么我这么讨厌你的文章,0,1,0,-1,-1
95,是啊，娶她们的男人何尝不也是可怜人，逼他们娶妻的这些亲属何尝又不也是可怜人么，这也只能说是社会问题。。。,0,1,0,-1,-1
96,那么个疯狂的人当总统，口无遮拦，侮辱女性，那抛弃职业道德挽救国家于万一啊,0,1,0,-1,-1
97,保护好自己，毕竟法律没有规定侵犯男性为强奸。,1,1,0,-1,-1
98,不打女人是因为有素质因为打人就不对但是如果你撕破这层道德并且你还打不过我那对不起我要打死你,0,0,0,-1,-1
99,"又要属猴又要男孩，要求怎么这么高。汗(\"" )汗",1,1,0,-1,-1
100,凭什么不愿意打女人的男性就活该被家暴，这就是女权吗？把拳头对准不愿意打女人的男人，在真敢家暴的男人面前当狗！,1,1,1,-1,-1
